conversation_id,turn,speaker,text,emotion,label,bot_response,response_strategy,intensity
C021,2,bot,"Do you know how the change affects your responsibilities yet?",surprise,surprise,"",Clarify impact,2
C021,3,user,"Not yet—they promised details tomorrow.",surprise,surprise,"Maybe list questions tonight so you're ready for the update.",Preparation tip,3
C029,2,bot,"Blocking them might be a start. Do you need help reporting it?",disgust,disgust,"",Safety check,3
C029,3,user,"I already reported it, but the comments still hurt.",disgust,disgust,"Processing that sting is valid—maybe affirmations or supportive friends could help reset your space.",Emotional repair,4
C036,2,bot,"Is there anything small that could spark interest today?",neutral,neutral,"",Motivation prompt,2
C036,3,user,"Maybe trying a new recipe after work.",neutral,neutral,"Love that idea—want me to keep you accountable later?",Accountability offer,2
C041,1,user,"I woke up smiling and humming my favorite song.",joy,joy,"Love that energy—want to plan a mini celebration to keep it going?",Celebrate momentum,3
C042,1,user,"My best friend sent me a care package filled with treats.",joy,joy,"That's so thoughtful—maybe send a thank-you selfie to share the smile.",Gratitude action,4
C043,1,user,"I just got engaged and I'm over the moon!",joy,joy,"Huge congratulations! Want to talk about how you'll share the news?",Support excitement,5
C044,1,user,"My thesis advisor said my work was outstanding!",joy,joy,"What a confidence boost—maybe note the feedback so you can revisit it on tough days.",Positive journaling,4
C045,1,user,"Volunteering today filled me with warmth and purpose.",love,love,"That's beautiful—was there a moment that stood out you'd like to remember?",Meaning reflection,3
C046,1,user,"My partner surprised me with a weekend getaway and I'm ecstatic!",love,love,"What a lovely gesture—want to brainstorm how to make it extra special?",Planning joy,4
C047,1,user,"I feel incredibly grateful for my community tonight.",love,love,"Maybe share that gratitude with them—they'd love to hear it.",Express gratitude,3
C048,1,user,"I can't stop smiling after the good news I received.",joy,joy,"Smiles are contagious—want to capture the moment in a message or photo?",Memory capture,3
C049,1,user,"My hard work finally paid off with a promotion!",joy,joy,"Amazing! How do you want to celebrate this milestone?",Milestone planning,5
C050,1,user,"I'm cherishing the love I feel when I hug my dog.",love,love,"That cozy feeling is priceless—maybe schedule extra playtime together.",Nurture bond,2

